序号,景区名称,客流数,舒适度,时间
172259,东方假日田园,0,舒适,2018/8/31 23:59
172260,上海大观园,3,舒适,2018/8/31 23:59
172261,上海植物园,5726,舒适,2018/8/31 23:59
172262,周浦花海,283,舒适,2018/8/31 23:59
172263,上海田子坊景区,523,舒适,2018/8/31 23:59
172264,上海古猗园,0,舒适,2018/8/31 23:58
172265,上海金山嘴渔村景区,48,舒适,2018/8/31 23:58
172266,上海植物园,5726,舒适,2018/8/31 23:58
172267,上海月湖雕塑公园,0,舒适,2018/8/31 23:58
172268,上海影视乐园,200,舒适,2018/8/31 23:57
172269,上海植物园,5726,舒适,2018/8/31 23:57
172270,上海植物园,5726,舒适,2018/8/31 23:56
172271,上海影视乐园,200,舒适,2018/8/31 23:56
172272,上海科技馆,0,舒适,2018/8/31 23:56
172273,上海植物园,5726,舒适,2018/8/31 23:55
172274,上海长风公园,0,舒适,2018/8/31 23:55
172275,上海国际时尚中心,129,舒适,2018/8/31 23:55
172276,上海田子坊景区,519,舒适,2018/8/31 23:54
172277,上海大观园,3,舒适,2018/8/31 23:54
172278,东方假日田园,0,舒适,2018/8/31 23:54
172279,上海植物园,5726,舒适,2018/8/31 23:53
172280,上海月湖雕塑公园,0,舒适,2018/8/31 23:53
172281,上海古猗园,0,舒适,2018/8/31 23:53
172282,上海影视乐园,200,舒适,2018/8/31 23:52
172283,上海植物园,5726,舒适,2018/8/31 23:52
172284,上海植物园,5726,舒适,2018/8/31 23:51
172285,上海影视乐园,200,舒适,2018/8/31 23:51
172286,上海科技馆,0,舒适,2018/8/31 23:51
172287,上海金山嘴渔村景区,48,舒适,2018/8/31 23:50
172288,上海植物园,5726,舒适,2018/8/31 23:50
172289,上海植物园,5726,舒适,2018/8/31 23:49
172290,东方假日田园,0,舒适,2018/8/31 23:49
172291,中国航海博物馆,45,舒适,2018/8/31 23:49
172292,周浦花海,283,舒适,2018/8/31 23:49
172293,上海大观园,3,舒适,2018/8/31 23:49
172294,上海植物园,5726,舒适,2018/8/31 23:48
172295,朱家角古镇,630,舒适,2018/8/31 23:48
172296,上海古猗园,0,舒适,2018/8/31 23:48
172297,上海月湖雕塑公园,0,舒适,2018/8/31 23:48
