城市,景点名,地点,距离,坐标,评论数,评论分,热评分,封面,是否免费,价格,原价,类别信息,标签,是否5A
上海,外滩,外滩核心区,距市中心1.8km,"31.243453, 121.497204",135020,4.8,10,https://dimg04.c-ctrip.com/images/10040m000000dht6p0F19.jpg,True,0,0,2024亚洲100必打卡景点,"遛娃宝藏地, 城市漫步",
上海,上海迪士尼度假区,迪士尼度假区,距市中心20.8km,"31.148267, 121.671964",175688,4.7,10,https://dimg04.c-ctrip.com/images/1lo4f12000iudih1251F7.jpg,False,399.0,475.0,2024亚洲100必打卡景点,"嗨玩乐园, 遛娃宝藏地",
上海,东方明珠,陆家嘴,距市中心2.7km,"31.245414, 121.506379",111064,4.7,8.8,https://dimg04.c-ctrip.com/images/1lo7412000isn0jrbD500.jpg,False,199.0,199.0,2024亚洲100必打卡景点,"遛娃宝藏地, 地标观景",5A
上海,上海海昌海洋公园,滴水湖临港地区,距市中心54.0km,"30.920947, 121.910782",43233,4.6,8.5,https://dimg04.c-ctrip.com/images/1lo2q12000irsd8izF552.jpg,False,339.0,399.0,2024亚洲100亲子景点,"萌萌动物, 嗨玩乐园",4A
上海,豫园,豫园地区,距市中心1.8km,"31.232741, 121.498732",42665,4.7,8.3,https://dimg04.c-ctrip.com/images/0103v12000f9ug057967E.jpg,False,30.0,30.0,上海近期热门景点榜 No.5,"遛娃宝藏地, 园林花园",4A
上海,上海博物馆,人民广场地区,距市中心296m,"31.23419, 121.482126",4643,4.6,8.3,https://dimg04.c-ctrip.com/images/0103x1200042pw7745DC1.jpg,True,0,0,2024亚洲100亲子景点,"博物馆, 场馆展馆",4A
上海,上海野生动物园,南汇/野生动物园,距市中心30.7km,"31.059867, 121.728426",80044,4.7,8.2,https://dimg04.c-ctrip.com/images/1lo0612000isnjm913F82.jpg,False,165.0,165.0,2024亚洲100亲子景点,"萌萌动物, 遛娃宝藏地",5A
上海,上海天文馆,滴水湖临港地区,距市中心55.8km,"30.918563, 121.932414",5673,4.9,8.2,https://dimg04.c-ctrip.com/images/01069120009ze52fdA92D.jpg,False,30.0,0,2024中国100亲子景点,天文馆,
上海,上海 · 山歌响起的地方·刀郎2025巡回演唱会 上海站,新国际博览中心/世博园,距市中心5.0km,"31.19446, 121.499982",74,4.9,8.6,https://dimg04.c-ctrip.com/images/0100b12000i2s47ooFEAC.png,False,0,0,,演唱会,
上海,黄浦江游览(十六铺码头),外滩核心区,距市中心2.3km,"31.23371, 121.504723",7474,4.5,7.9,https://dimg04.c-ctrip.com/images/35091e000001ey01xBB09.jpg,False,85.0,120.0,上海必打卡景点榜 No.8,"夜游观景, 乘船游览 ",
上海,黄浦江,陆家嘴,距市中心2.5km,"31.246586, 121.50369",2381,4.8,7.9,https://dimg04.c-ctrip.com/images/10021f000001gxcdwB7C4.jpg,True,0,0,,"自然山水, 夜游观景",
上海,磁浮列车,新国际博览中心/世博园,距市中心8.9km,"31.208606, 121.567908",5564,4.8,7.8,https://dimg04.c-ctrip.com/images/10051f000001gstmz0A34.jpg,False,50.0,50.0,上海必打卡景点榜 No.9,遛娃宝藏地,
上海,上海中心大厦,陆家嘴,距市中心3.0km,"31.239212, 121.511937",5650,4.5,7.8,https://dimg04.c-ctrip.com/images/0100812000f6pvv945ED1.jpg,True,0,0,,"地标观景, 夜游观景",
上海,上海海洋水族馆,陆家嘴,距市中心2.9km,"31.246392, 121.508574",34706,4.6,7.8,https://dimg04.c-ctrip.com/images/1lo6e12000hsutu2eF00B.jpg,False,155.0,160.0,2024亚洲100亲子景点,"萌萌动物, 遛娃宝藏地",4A
上海,上海之巅观光厅,陆家嘴,距市中心3.1km,"31.239205, 121.512342",11071,4.6,7.7,https://dimg04.c-ctrip.com/images/10070d0000006wasz1009.jpg,False,180.0,180.0,2024亚洲100夜游景点,"遛娃宝藏地, 地标观景",4A
上海,城隍庙旅游区,豫园地区,距市中心1.9km,"31.231471, 121.499034",7447,4.7,7.5,https://dimg04.c-ctrip.com/images/100l1f000001gqi1p4B80.jpg,True,0,0,2024中国100夜游景点,"城市漫步, 夜游观景",
上海,上海千古情,新国际博览中心/世博园,距市中心5.0km,"31.192096, 121.490093",1980,4.6,7.5,https://dimg04.c-ctrip.com/images/0102p12000f6qjpj8C6E7.jpg,False,278.0,318.0,2024中国100夜游景点,夜游观景,
上海,上海动物园,虹桥地区,距市中心11.3km,"31.199023, 121.369284",12685,4.7,7.5,https://dimg04.c-ctrip.com/images/0102y120009j4hethC8A2.jpg,False,40.0,40.0,2024中国100亲子景点,"萌萌动物, 遛娃宝藏地",4A
上海,迪士尼小镇,迪士尼度假区,距市中心20.5km,"31.146189, 121.667537",24228,4.8,7.4,https://dimg04.c-ctrip.com/images/100v0z000000nmk4q9783.jpg,True,0,0,,"遛娃宝藏地, 城市漫步",
